,监测点,AQI,质量等级,PM2.5浓度(1小时),主要污染物
15,第二人民医院,77,良,8,颗粒物（PM10）
0,达州职业技术学院,92,良,68,颗粒物（PM10）
1,市环境监测站,60,良,25,颗粒物（PM10）
2,凤凰小区,53,良,35,颗粒物（PM10）
3,达县机关宾馆,52,良,29,颗粒物（PM10）
4,市政中心,69,良,42,颗粒物（PM10）
0,南城元岭,0,优,3,颗粒物（PM10）
1,东城石井,27,优,18,颗粒物（PM10）
2,南城西平,25,优,9,颗粒物（PM10）
3,东城主山,24,优,4,颗粒物（PM10）
4,莞城梨川,25,优,11,颗粒物（PM10）
0,综合楼,89,良,27,颗粒物（PM10）
1,巴音孟克林场办事处,73,良,25,颗粒物（PM10）
2,康泽苑,82,良,24,颗粒物（PM10）
3,华泰汽车城,72,良,27,颗粒物（PM10）
4,奥林花园,70,良,24,颗粒物（PM10）
0,湖北民院,42,优,17,颗粒物（PM10）
1,州电力总公司,0,优,--,颗粒物（PM10）
0,市政府,40,优,17,颗粒物（PM10）
1,赵家坝,40,优,18,颗粒物（PM10）
2,凡口开发区,37,优,6,颗粒物（PM10）
0,湾梁,27,优,8,颗粒物（PM10）
1,华材职中,24,优,6,颗粒物（PM10）
2,南海气象局,25,优,8,颗粒物（PM10）
3,顺德苏岗,21,优,3,颗粒物（PM10）
4,容桂街道办,21,优,6,颗粒物（PM10）
5,高明孔堂,0,优,1,颗粒物（PM10）
6,三水监测站,22,优,4,颗粒物（PM10）
7,三水云东海,25,优,2,颗粒物（PM10）
0,万寿西宫,35,优,--,颗粒物（PM10）
1,定陵,35,优,5,颗粒物（PM10）
2,东四,38,优,--,颗粒物（PM10）
3,天坛,36,优,13,颗粒物（PM10）
4,农展馆,35,优,3,颗粒物（PM10）
5,官园,35,优,8,颗粒物（PM10）
6,海淀区万柳,0,优,--,颗粒物（PM10）
7,顺义新城,35,优,--,颗粒物（PM10）
8,怀柔镇,31,优,3,颗粒物（PM10）
9,昌平镇,37,优,11,颗粒物（PM10）
10,奥体中心,31,优,--,颗粒物（PM10）
11,古城,38,优,3,颗粒物（PM10）
0,沈抚新城,33,优,4,颗粒物（PM10）
1,望花区,32,优,5,颗粒物（PM10）
2,顺城区,32,优,5,颗粒物（PM10）
3,东洲区,31,优,4,颗粒物（PM10）
4,新抚区,0,优,--,颗粒物（PM10）
5,大伙房水库,0,优,4,颗粒物（PM10）
0,市监测站,78,良,21,颗粒物（PM10）
1,市委党校,0,优,--,颗粒物（PM10）
2,开发区,74,良,24,颗粒物（PM10）
3,阜阳职业技术学院,61,良,18,颗粒物（PM10）
0,鼓山,51,良,30,颗粒物（PM10）
1,快安,0,优,--,颗粒物（PM10）
2,师大,58,良,32,颗粒物（PM10）
3,五四北路,65,良,47,颗粒物（PM10）
4,杨桥西路,65,良,47,颗粒物（PM10）
5,紫阳,62,良,29,颗粒物（PM10）
6,九龙,56,良,29,颗粒物（PM10）
0,通天岩,27,优,4,颗粒物（PM10）
1,地委,22,优,6,颗粒物（PM10）
2,气象台,21,优,10,颗粒物（PM10）
